reporter_country,worst_outcome,count,total,pct
UA,Other Serious,114,262,43.51
US,Congenital Anomaly,294,972239,0.03
US,Death,47325,972239,4.87
US,Disability,4605,972239,0.47
US,Hospitalization,108274,972239,11.14
US,Life-Threatening,12246,972239,1.26
US,No Outcome Reported,622322,972239,64.01
US,Other Serious,175144,972239,18.01
US,Required Intervention,2029,972239,0.21
UY,Death,17,245,6.94
UY,Disability,1,245,0.41
UY,Hospitalization,77,245,31.43
UY,Life-Threatening,7,245,2.86
UY,No Outcome Reported,44,245,17.96
UY,Other Serious,98,245,40.0
UY,Required Intervention,1,245,0.41
VE,Death,27,134,20.15
VE,Hospitalization,21,134,15.67
VE,Life-Threatening,11,134,8.21
VE,No Outcome Reported,3,134,2.24
VE,Other Serious,72,134,53.73
VN,Death,289,929,31.11
VN,Hospitalization,175,929,18.84
VN,Life-Threatening,73,929,7.86
VN,No Outcome Reported,21,929,2.26
VN,Other Serious,371,929,39.94
ZA,Congenital Anomaly,56,3869,1.45
ZA,Death,658,3869,17.01
ZA,Disability,20,3869,0.52
ZA,Hospitalization,1243,3869,32.13
ZA,Life-Threatening,68,3869,1.76
ZA,No Outcome Reported,51,3869,1.32
ZA,Other Serious,1772,3869,45.8
ZA,Required Intervention,1,3869,0.03
