drugname,Congenital Anomaly,Death,Disability,Hospitalization,Life-Threatening,No Outcome Reported,Other Serious,Required Intervention,total_reports,death_count,death_rate_pct
METRONIDAZOLE,6.0,70.0,24.0,304.0,76.0,109.0,493.0,3.0,1085.0,70.0,6.45
OPZELURA,0.0,1.0,2.0,31.0,3.0,949.0,91.0,2.0,1079.0,1.0,0.09
FUROSEMIDE,1.0,85.0,7.0,516.0,69.0,48.0,347.0,0.0,1073.0,85.0,7.92
ZYRTEC,0.0,2.0,20.0,3.0,1.0,921.0,107.0,10.0,1064.0,2.0,0.19
SLYND,0.0,0.0,1.0,4.0,0.0,1015.0,43.0,0.0,1063.0,0.0,0.0
QUETIAPINE FUMARATE,4.0,130.0,14.0,318.0,93.0,111.0,390.0,3.0,1063.0,130.0,12.23
RUCONEST,0.0,2.0,0.0,176.0,2.0,782.0,91.0,0.0,1053.0,2.0,0.19
KEPPRA,12.0,16.0,7.0,168.0,9.0,507.0,334.0,0.0,1053.0,16.0,1.52
OXYCONTIN,7.0,263.0,106.0,100.0,22.0,152.0,403.0,0.0,1053.0,263.0,24.98
ESCITALOPRAM,3.0,79.0,114.0,258.0,169.0,96.0,330.0,3.0,1052.0,79.0,7.51
GUSELKUMAB,0.0,2.0,0.0,21.0,1.0,972.0,46.0,0.0,1042.0,2.0,0.19
ADEMPAS,0.0,327.0,1.0,337.0,3.0,142.0,229.0,3.0,1042.0,327.0,31.38
AZACITIDINE,0.0,347.0,2.0,226.0,81.0,7.0,375.0,0.0,1038.0,347.0,33.43
TOUJEO,0.0,5.0,7.0,61.0,5.0,888.0,67.0,1.0,1034.0,5.0,0.48
