drugname,Congenital Anomaly,Death,Disability,Hospitalization,Life-Threatening,No Outcome Reported,Other Serious,Required Intervention,total_reports,death_count,death_rate_pct
RYBREVANT,0.0,95.0,2.0,218.0,24.0,425.0,569.0,1.0,1334.0,95.0,7.12
RILPIVIRINE,0.0,14.0,6.0,31.0,11.0,1055.0,215.0,0.0,1332.0,14.0,1.05
NEXPLANON,0.0,2.0,18.0,43.0,17.0,29.0,1212.0,5.0,1326.0,2.0,0.15
LUMRYZ,0.0,2.0,0.0,55.0,0.0,1139.0,123.0,0.0,1319.0,2.0,0.15
SYNTHROID,2.0,289.0,11.0,122.0,16.0,550.0,327.0,0.0,1317.0,289.0,21.94
HEMANGEOL,0.0,1.0,0.0,20.0,0.0,1287.0,4.0,1.0,1313.0,1.0,0.08
RISPERIDONE,4.0,77.0,31.0,456.0,105.0,133.0,504.0,3.0,1313.0,77.0,5.86
FARXIGA,1.0,239.0,11.0,138.0,25.0,586.0,307.0,2.0,1309.0,239.0,18.26
MIRTAZAPINE,7.0,134.0,73.0,359.0,112.0,59.0,561.0,0.0,1305.0,134.0,10.27
OMALIZUMAB,3.0,16.0,7.0,389.0,39.0,13.0,836.0,0.0,1303.0,16.0,1.23
QINLOCK,0.0,83.0,0.0,269.0,3.0,634.0,313.0,0.0,1302.0,83.0,6.37
LEVOFLOXACIN,0.0,71.0,86.0,475.0,84.0,98.0,472.0,13.0,1299.0,71.0,5.47
LYNPARZA,0.0,176.0,10.0,193.0,44.0,147.0,720.0,4.0,1294.0,176.0,13.6
ESTRADIOL TRANSDERMAL SYSTEM,0.0,0.0,0.0,7.0,1.0,1260.0,11.0,0.0,1279.0,0.0,0.0
DUPILUMAB,1.0,29.0,23.0,251.0,12.0,602.0,360.0,0.0,1278.0,29.0,2.27
TAVALISSE,0.0,86.0,1.0,304.0,5.0,832.0,41.0,0.0,1269.0,86.0,6.78
WINREVAIR,1.0,49.0,1.0,424.0,12.0,605.0,168.0,1.0,1261.0,49.0,3.89
LANTUS,0.0,8.0,6.0,36.0,8.0,1114.0,86.0,1.0,1259.0,8.0,0.64
LINEZOLID,0.0,124.0,16.0,312.0,120.0,113.0,568.0,4.0,1257.0,124.0,9.86
TADALAFIL,0.0,150.0,36.0,382.0,26.0,296.0,359.0,2.0,1251.0,150.0,11.99
TERIPARATIDE,0.0,40.0,24.0,148.0,5.0,716.0,297.0,8.0,1238.0,40.0,3.23
AJOVY,4.0,18.0,25.0,98.0,8.0,634.0,448.0,3.0,1238.0,18.0,1.45
EZETIMIBE,1.0,19.0,42.0,156.0,55.0,231.0,732.0,0.0,1236.0,19.0,1.54
ACOLTREMON,0.0,0.0,0.0,5.0,0.0,1215.0,12.0,0.0,1232.0,0.0,0.0
VOQUEZNA,0.0,33.0,3.0,70.0,1.0,1106.0,14.0,2.0,1229.0,33.0,2.69
IMATINIB,0.0,89.0,11.0,260.0,57.0,100.0,710.0,0.0,1227.0,89.0,7.25
XDEMVY,0.0,9.0,4.0,19.0,0.0,1124.0,38.0,6.0,1200.0,9.0,0.75
XYREM,0.0,5.0,8.0,291.0,2.0,19.0,866.0,0.0,1191.0,5.0,0.42
DIAZEPAM,1.0,160.0,9.0,397.0,148.0,84.0,386.0,1.0,1186.0,160.0,13.49
QSYMIA,0.0,3.0,2.0,11.0,0.0,1113.0,52.0,1.0,1182.0,3.0,0.25
NIVOLUMAB,1.0,167.0,6.0,292.0,113.0,57.0,540.0,1.0,1177.0,167.0,14.19
UPADACITINIB,0.0,17.0,10.0,248.0,23.0,599.0,280.0,0.0,1177.0,17.0,1.44
BUPRENORPHINE,6.0,395.0,6.0,200.0,38.0,242.0,285.0,2.0,1174.0,395.0,33.65
TECFIDERA,2.0,24.0,5.0,268.0,22.0,596.0,245.0,1.0,1163.0,24.0,2.06
FINTEPLA,4.0,23.0,0.0,328.0,9.0,61.0,737.0,0.0,1162.0,23.0,1.98
PEMETREXED,0.0,164.0,16.0,444.0,99.0,11.0,424.0,0.0,1158.0,164.0,14.16
RISPERDAL,2.0,22.0,12.0,137.0,40.0,670.0,267.0,1.0,1151.0,22.0,1.91
ACTEMRA ACTPEN,0.0,56.0,2.0,103.0,1.0,843.0,142.0,3.0,1150.0,56.0,4.87
ETOPOSIDE,0.0,260.0,5.0,300.0,135.0,18.0,430.0,1.0,1149.0,260.0,22.63
TEZEPELUMAB,0.0,154.0,1.0,389.0,18.0,27.0,555.0,2.0,1146.0,154.0,13.44
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",1.0,155.0,4.0,56.0,8.0,657.0,258.0,1.0,1140.0,155.0,13.6
ARIKAYCE,0.0,158.0,4.0,458.0,8.0,201.0,296.0,0.0,1125.0,158.0,14.04
RYBELSUS,0.0,32.0,35.0,292.0,19.0,332.0,411.0,1.0,1122.0,32.0,2.85
NOVOLOG,1.0,53.0,39.0,294.0,7.0,224.0,502.0,0.0,1120.0,53.0,4.73
XPHOZAH,0.0,177.0,2.0,226.0,3.0,675.0,34.0,0.0,1117.0,177.0,15.85
ERLEADA,0.0,121.0,6.0,226.0,22.0,347.0,389.0,2.0,1113.0,121.0,10.87
LENVATINIB,0.0,99.0,6.0,568.0,22.0,17.0,399.0,0.0,1111.0,99.0,8.91
BRUKINSA,0.0,98.0,6.0,238.0,32.0,250.0,476.0,1.0,1101.0,98.0,8.9
AMIODARONE,1.0,108.0,8.0,351.0,208.0,24.0,391.0,4.0,1095.0,108.0,9.86
ZEPOSIA,1.0,22.0,2.0,68.0,20.0,817.0,156.0,2.0,1088.0,22.0,2.02
