drugname,total_reports,death_rate_pct,outcome,report_count
LETROZOLE,1626.0,5.47,Congenital Anomaly,1.0
STRENSIQ,1598.0,1.44,Congenital Anomaly,2.0
DICLOFENAC,1596.0,15.23,Congenital Anomaly,14.0
DOXYCYCLINE,1569.0,5.8,Congenital Anomaly,2.0
OMEPRAZOLE,1568.0,4.85,Congenital Anomaly,10.0
FLUOROURACIL,1554.0,7.79,Congenital Anomaly,3.0
CITALOPRAM,1532.0,50.39,Congenital Anomaly,22.0
TRAMADOL,1519.0,19.42,Congenital Anomaly,4.0
AIMOVIG,1516.0,5.08,Congenital Anomaly,4.0
RUXIENCE,1516.0,6.73,Congenital Anomaly,2.0
HYRIMOZ,1496.0,4.75,Congenital Anomaly,2.0
PANTOPRAZOLE,1494.0,7.97,Congenital Anomaly,15.0
AZITHROMYCIN,1491.0,7.65,Congenital Anomaly,6.0
SYMBICORT,1466.0,1.36,Congenital Anomaly,6.0
RUXOLITINIB,1452.0,15.36,Congenital Anomaly,2.0
AMOXICILLIN,1415.0,2.47,Congenital Anomaly,1.0
XARELTO,1396.0,5.87,Congenital Anomaly,2.0
TRUVADA,1388.0,0.5,Congenital Anomaly,1.0
ALPRAZOLAM,1387.0,19.83,Congenital Anomaly,1.0
VELAGLUCERASE ALFA,1383.0,4.77,Congenital Anomaly,4.0
AVASTIN,1383.0,28.2,Congenital Anomaly,1.0
TRIKAFTA,1375.0,2.55,Congenital Anomaly,8.0
AVONEX,1343.0,3.87,Congenital Anomaly,1.0
SYNTHROID,1317.0,21.94,Congenital Anomaly,2.0
RISPERIDONE,1313.0,5.86,Congenital Anomaly,4.0
FARXIGA,1309.0,18.26,Congenital Anomaly,1.0
MIRTAZAPINE,1305.0,10.27,Congenital Anomaly,7.0
OMALIZUMAB,1303.0,1.23,Congenital Anomaly,3.0
DUPILUMAB,1278.0,2.27,Congenital Anomaly,1.0
WINREVAIR,1261.0,3.89,Congenital Anomaly,1.0
AJOVY,1238.0,1.45,Congenital Anomaly,4.0
EZETIMIBE,1236.0,1.54,Congenital Anomaly,1.0
DIAZEPAM,1186.0,13.49,Congenital Anomaly,1.0
NIVOLUMAB,1177.0,14.19,Congenital Anomaly,1.0
BUPRENORPHINE,1174.0,33.65,Congenital Anomaly,6.0
TECFIDERA,1163.0,2.06,Congenital Anomaly,2.0
FINTEPLA,1162.0,1.98,Congenital Anomaly,4.0
RISPERDAL,1151.0,1.91,Congenital Anomaly,2.0
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",1140.0,13.6,Congenital Anomaly,1.0
NOVOLOG,1120.0,4.73,Congenital Anomaly,1.0
AMIODARONE,1095.0,9.86,Congenital Anomaly,1.0
ZEPOSIA,1088.0,2.02,Congenital Anomaly,1.0
METRONIDAZOLE,1085.0,6.45,Congenital Anomaly,6.0
FUROSEMIDE,1073.0,7.92,Congenital Anomaly,1.0
QUETIAPINE FUMARATE,1063.0,12.23,Congenital Anomaly,4.0
KEPPRA,1053.0,1.52,Congenital Anomaly,12.0
OXYCONTIN,1053.0,24.98,Congenital Anomaly,7.0
ESCITALOPRAM,1052.0,7.51,Congenital Anomaly,3.0
DUPIXENT,125677.0,0.38,Death,475.0
VEDOLIZUMAB,48278.0,1.29,Death,624.0
ZEPBOUND,30098.0,0.17,Death,51.0
MOUNJARO,27901.0,1.0,Death,278.0
SKYRIZI,19963.0,3.63,Death,725.0
RINVOQ,15046.0,4.11,Death,618.0
ORGOVYX,14813.0,2.85,Death,422.0
OZEMPIC,14766.0,1.32,Death,195.0
REVLIMID,13432.0,5.59,Death,751.0
HUMIRA,11402.0,6.37,Death,726.0
LENALIDOMIDE,10962.0,7.48,Death,820.0
NUPLAZID,10582.0,19.22,Death,2034.0
BIMZELX,10225.0,0.4,Death,41.0
GENOTROPIN,10000.0,0.21,Death,21.0
HUMAN IMMUNOGLOBULIN G,9696.0,6.1,Death,591.0
POMALYST,8464.0,7.44,Death,630.0
RITUXIMAB,8373.0,16.31,Death,1366.0
ORENCIA,8264.0,4.5,Death,372.0
DAPAGLIFLOZIN,8019.0,38.38,Death,3078.0
CIMZIA,7893.0,2.53,Death,200.0
