drugname,total_reports,death_rate_pct,outcome,report_count
KESIMPTA,4162.0,1.59,Disability,62.0
IBUPROFEN,4159.0,4.3,Disability,12.0
TYVASO,4114.0,6.27,Disability,7.0
CLOZAPINE,4085.0,14.91,Disability,5.0
ULTOMIRIS,4018.0,9.81,Disability,15.0
HUMALOG,3909.0,0.72,Disability,23.0
INFLECTRA,3898.0,1.56,Disability,18.0
DEXAMETHASONE,3854.0,12.9,Disability,37.0
STELARA,3850.0,1.97,Disability,14.0
METFORMIN,3812.0,10.49,Disability,47.0
BEVACIZUMAB,3700.0,19.68,Disability,21.0
CARBIDOPA\LEVODOPA,3658.0,33.41,Disability,19.0
MIRENA,3573.0,0.11,Disability,27.0
VENCLEXTA,3493.0,30.52,Disability,10.0
PLUVICTO,3478.0,9.03,Disability,5.0
SERTRALINE,3456.0,5.15,Disability,286.0
TYSABRI,3410.0,4.19,Disability,4.0
OXALIPLATIN,3388.0,10.24,Disability,28.0
REMICADE,3329.0,3.09,Disability,14.0
CERTOLIZUMAB PEGOL,3308.0,2.33,Disability,11.0
OSIMERTINIB,3302.0,40.31,Disability,7.0
PARAGARD T 380A,3287.0,0.09,Disability,5.0
EMGALITY,3277.0,0.18,Disability,29.0
ENBREL,3258.0,5.22,Disability,14.0
LENVIMA,3245.0,6.59,Disability,29.0
TRELEGY ELLIPTA,3151.0,4.79,Disability,11.0
PREGABALIN,3136.0,11.19,Disability,102.0
OMNITROPE,3053.0,0.39,Disability,6.0
GABAPENTIN,2974.0,10.02,Disability,70.0
ALBUTEROL,2973.0,2.76,Disability,3.0
XYWAV,2945.0,0.54,Disability,22.0
PEMBROLIZUMAB,2938.0,12.76,Disability,16.0
BOTOX,2931.0,10.92,Disability,37.0
EPIDIOLEX,2929.0,16.32,Disability,6.0
METHOTREXATE SODIUM,2898.0,4.87,Disability,46.0
PROLIA,2872.0,17.79,Disability,59.0
TALTZ,2840.0,1.65,Disability,13.0
AMLODIPINE,2835.0,9.1,Disability,79.0
BREZTRI,2817.0,4.54,Disability,9.0
OLANZAPINE,2817.0,7.06,Disability,78.0
XELJANZ,2776.0,3.42,Disability,22.0
OPDIVO,2760.0,20.54,Disability,11.0
ACTEMRA,2749.0,9.6,Disability,5.0
IMBRUVICA,2741.0,16.6,Disability,5.0
FOSCARBIDOPA\FOSLEVODOPA,2718.0,17.26,Disability,17.0
OFEV,2673.0,19.72,Disability,28.0
OTEZLA,2672.0,2.17,Disability,3.0
PAXLOVID,2663.0,1.35,Disability,19.0
KISQALI,2661.0,11.39,Disability,28.0
PREDNISOLONE,2629.0,12.02,Disability,48.0
VERZENIO,2613.0,4.4,Disability,1.0
PACLITAXEL,2521.0,7.3,Disability,28.0
BIMEKIZUMAB,2512.0,1.07,Disability,17.0
AYVAKIT,2423.0,2.02,Disability,1.0
SOLIRIS,2420.0,17.27,Disability,6.0
LUPKYNIS,2417.0,0.37,Disability,2.0
ARIPIPRAZOLE,2377.0,7.15,Disability,111.0
FENFLURAMINE,2373.0,0.0,Disability,12.0
XOLAIR PFS,2373.0,1.31,Disability,1.0
HEMLIBRA,2360.0,4.19,Disability,6.0
CYCLOSPORINE,2357.0,14.59,Disability,11.0
DURVALUMAB,2353.0,39.91,Disability,5.0
CONTRAVE,2350.0,0.09,Disability,4.0
CYCLOPHOSPHAMIDE,2341.0,15.85,Disability,16.0
ESTRADIOL,2341.0,0.21,Disability,34.0
APIXABAN,2291.0,11.35,Disability,86.0
JARDIANCE,2227.0,4.63,Disability,23.0
TRASTUZUMAB,2222.0,10.08,Disability,35.0
ISOTRETINOIN,2203.0,0.59,Disability,19.0
DEPO-PROVERA,2177.0,0.46,Disability,20.0
ENHERTU,2176.0,28.86,Disability,6.0
IMFINZI,2176.0,34.19,Disability,7.0
BENRALIZUMAB,2172.0,16.57,Disability,15.0
QUETIAPINE,2140.0,10.75,Disability,53.0
IDURSULFASE,2127.0,6.96,Disability,31.0
VYEPTI,2122.0,0.85,Disability,10.0
VUMERITY,2119.0,3.82,Disability,1.0
FENTANYL,2104.0,55.23,Disability,4.0
TECENTRIQ,2103.0,37.33,Disability,3.0
NEULASTA,2081.0,1.2,Disability,1.0
MAVENCLAD,2062.0,1.36,Disability,13.0
ADVATE,2049.0,0.54,Disability,4.0
OLAPARIB,2023.0,23.63,Disability,6.0
CAPECITABINE,2020.0,13.76,Disability,14.0
TOLVAPTAN,2018.0,11.5,Disability,1.0
PONATINIB,2014.0,13.46,Disability,4.0
ROSUVASTATIN,2013.0,1.79,Disability,106.0
EVENITY,2012.0,4.08,Disability,27.0
FASENRA,2002.0,7.14,Disability,5.0
VENETOCLAX,1977.0,21.24,Disability,14.0
ICATIBANT,1974.0,0.61,Disability,17.0
TAGRISSO,1968.0,19.16,Disability,22.0
ENTYVIO,1964.0,2.19,Disability,10.0
FRUQUINTINIB,1961.0,36.82,Disability,9.0
CARVYKTI,1932.0,9.11,Disability,4.0
VYNDAMAX,1916.0,28.81,Disability,8.0
TEZSPIRE,1877.0,3.62,Disability,13.0
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,1858.0,63.83,Disability,5.0
XCOPRI,1841.0,1.9,Disability,6.0
RISANKIZUMAB,1837.0,0.49,Disability,2.0
ADBRY,1826.0,1.48,Disability,4.0
ACALABRUTINIB,1816.0,12.44,Disability,4.0
CIPROFLOXACIN,1788.0,4.19,Disability,158.0
LANADELUMAB,1781.0,2.41,Disability,8.0
VENLAFAXINE,1767.0,9.68,Disability,30.0
ZOLEDRONIC ACID,1759.0,4.43,Disability,100.0
DOXORUBICIN,1755.0,16.18,Disability,3.0
OPSUMIT,1746.0,14.09,Disability,1.0
VEVYE,1729.0,0.0,Disability,1.0
BORTEZOMIB,1719.0,13.21,Disability,3.0
HIZENTRA,1703.0,7.93,Disability,6.0
BASAGLAR,1687.0,0.47,Disability,16.0
YERVOY,1676.0,29.12,Disability,8.0
DOCETAXEL,1667.0,13.5,Disability,23.0
AMBRISENTAN,1666.0,15.13,Disability,5.0
LAMOTRIGINE,1650.0,7.52,Disability,23.0
RAMIPRIL,1647.0,1.52,Disability,18.0
LEQVIO,1632.0,3.37,Disability,34.0
LETROZOLE,1626.0,5.47,Disability,31.0
MINOXIDIL,1620.0,0.0,Disability,4.0
MEPOLIZUMAB,1619.0,7.6,Disability,7.0
GLASSIA,1608.0,7.15,Disability,1.0
PADCEV,1605.0,19.0,Disability,9.0
STRENSIQ,1598.0,1.44,Disability,3.0
DICLOFENAC,1596.0,15.23,Disability,11.0
VABYSMO,1590.0,10.63,Disability,22.0
MIRALAX,1578.0,0.38,Disability,2.0
DOXYCYCLINE,1569.0,5.8,Disability,29.0
OMEPRAZOLE,1568.0,4.85,Disability,40.0
TAVNEOS,1563.0,12.8,Disability,4.0
FLUOROURACIL,1554.0,7.79,Disability,14.0
CITALOPRAM,1532.0,50.39,Disability,77.0
OXYCODONE HYDROCHLORIDE,1528.0,23.17,Disability,17.0
CLOPIDOGREL,1527.0,10.67,Disability,36.0
TRAMADOL,1519.0,19.42,Disability,9.0
COBENFY,1518.0,1.25,Disability,2.0
AIMOVIG,1516.0,5.08,Disability,20.0
RUXIENCE,1516.0,6.73,Disability,14.0
GEMTESA,1500.0,6.07,Disability,1.0
LEQEMBI,1498.0,4.74,Disability,4.0
HYRIMOZ,1496.0,4.75,Disability,18.0
PANTOPRAZOLE,1494.0,7.97,Disability,7.0
AZITHROMYCIN,1491.0,7.65,Disability,12.0
CABENUVA,1477.0,1.9,Disability,4.0
ENTRESTO,1470.0,8.84,Disability,16.0
SYMBICORT,1466.0,1.36,Disability,6.0
GEMCITABINE,1465.0,13.24,Disability,2.0
FULVESTRANT,1456.0,14.08,Disability,5.0
RUXOLITINIB,1452.0,15.36,Disability,3.0
KISUNLA,1445.0,2.21,Disability,2.0
CAMZYOS,1416.0,2.97,Disability,3.0
AMOXICILLIN,1415.0,2.47,Disability,14.0
VYALEV,1402.0,7.85,Disability,1.0
XARELTO,1396.0,5.87,Disability,11.0
IXAZOMIB,1393.0,21.32,Disability,3.0
TRUVADA,1388.0,0.5,Disability,5.0
ALPRAZOLAM,1387.0,19.83,Disability,9.0
VELAGLUCERASE ALFA,1383.0,4.77,Disability,29.0
AVASTIN,1383.0,28.2,Disability,24.0
CAPLYTA,1381.0,0.94,Disability,5.0
TRIKAFTA,1375.0,2.55,Disability,6.0
UBLITUXIMAB,1364.0,0.81,Disability,1.0
INVEGA SUSTENNA,1358.0,1.25,Disability,5.0
AVONEX,1343.0,3.87,Disability,5.0
BOTOX COSMETIC,1339.0,0.07,Disability,1.0
RYBREVANT,1334.0,7.12,Disability,2.0
RILPIVIRINE,1332.0,1.05,Disability,6.0
NEXPLANON,1326.0,0.15,Disability,18.0
SYNTHROID,1317.0,21.94,Disability,11.0
RISPERIDONE,1313.0,5.86,Disability,31.0
FARXIGA,1309.0,18.26,Disability,11.0
MIRTAZAPINE,1305.0,10.27,Disability,73.0
OMALIZUMAB,1303.0,1.23,Disability,7.0
LEVOFLOXACIN,1299.0,5.47,Disability,86.0
LYNPARZA,1294.0,13.6,Disability,10.0
DUPILUMAB,1278.0,2.27,Disability,23.0
TAVALISSE,1269.0,6.78,Disability,1.0
WINREVAIR,1261.0,3.89,Disability,1.0
LANTUS,1259.0,0.64,Disability,6.0
LINEZOLID,1257.0,9.86,Disability,16.0
TADALAFIL,1251.0,11.99,Disability,36.0
TERIPARATIDE,1238.0,3.23,Disability,24.0
AJOVY,1238.0,1.45,Disability,25.0
EZETIMIBE,1236.0,1.54,Disability,42.0
VOQUEZNA,1229.0,2.69,Disability,3.0
IMATINIB,1227.0,7.25,Disability,11.0
XDEMVY,1200.0,0.75,Disability,4.0
XYREM,1191.0,0.42,Disability,8.0
DIAZEPAM,1186.0,13.49,Disability,9.0
QSYMIA,1182.0,0.25,Disability,2.0
NIVOLUMAB,1177.0,14.19,Disability,6.0
UPADACITINIB,1177.0,1.44,Disability,10.0
BUPRENORPHINE,1174.0,33.65,Disability,6.0
TECFIDERA,1163.0,2.06,Disability,5.0
PEMETREXED,1158.0,14.16,Disability,16.0
RISPERDAL,1151.0,1.91,Disability,12.0
ACTEMRA ACTPEN,1150.0,4.87,Disability,2.0
ETOPOSIDE,1149.0,22.63,Disability,5.0
TEZEPELUMAB,1146.0,13.44,Disability,1.0
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",1140.0,13.6,Disability,4.0
ARIKAYCE,1125.0,14.04,Disability,4.0
RYBELSUS,1122.0,2.85,Disability,35.0
NOVOLOG,1120.0,4.73,Disability,39.0
XPHOZAH,1117.0,15.85,Disability,2.0
ERLEADA,1113.0,10.87,Disability,6.0
LENVATINIB,1111.0,8.91,Disability,6.0
BRUKINSA,1101.0,8.9,Disability,6.0
AMIODARONE,1095.0,9.86,Disability,8.0
ZEPOSIA,1088.0,2.02,Disability,2.0
METRONIDAZOLE,1085.0,6.45,Disability,24.0
OPZELURA,1079.0,0.09,Disability,2.0
FUROSEMIDE,1073.0,7.92,Disability,7.0
ZYRTEC,1064.0,0.19,Disability,20.0
SLYND,1063.0,0.0,Disability,1.0
QUETIAPINE FUMARATE,1063.0,12.23,Disability,14.0
KEPPRA,1053.0,1.52,Disability,7.0
OXYCONTIN,1053.0,24.98,Disability,106.0
ESCITALOPRAM,1052.0,7.51,Disability,114.0
ADEMPAS,1042.0,31.38,Disability,1.0
AZACITIDINE,1038.0,33.43,Disability,2.0
TOUJEO,1034.0,0.48,Disability,7.0
DUPIXENT,125677.0,0.38,Hospitalization,4822.0
VEDOLIZUMAB,48278.0,1.29,Hospitalization,12583.0
ZEPBOUND,30098.0,0.17,Hospitalization,596.0
MOUNJARO,27901.0,1.0,Hospitalization,2577.0
SKYRIZI,19963.0,3.63,Hospitalization,5466.0
RINVOQ,15046.0,4.11,Hospitalization,4387.0
ORGOVYX,14813.0,2.85,Hospitalization,1370.0
OZEMPIC,14766.0,1.32,Hospitalization,2903.0
REVLIMID,13432.0,5.59,Hospitalization,1836.0
HUMIRA,11402.0,6.37,Hospitalization,2473.0
LENALIDOMIDE,10962.0,7.48,Hospitalization,2531.0
NUPLAZID,10582.0,19.22,Hospitalization,1123.0
BIMZELX,10225.0,0.4,Hospitalization,433.0
GENOTROPIN,10000.0,0.21,Hospitalization,87.0
HUMAN IMMUNOGLOBULIN G,9696.0,6.1,Hospitalization,3999.0
POMALYST,8464.0,7.44,Hospitalization,1584.0
RITUXIMAB,8373.0,16.31,Hospitalization,1856.0
ORENCIA,8264.0,4.5,Hospitalization,463.0
DAPAGLIFLOZIN,8019.0,38.38,Hospitalization,1436.0
CIMZIA,7893.0,2.53,Hospitalization,394.0
KEYTRUDA,7675.0,19.4,Hospitalization,2113.0
ACETAMINOPHEN,7539.0,23.89,Hospitalization,2478.0
ALBUTEROL SULFATE,7409.0,0.2,Hospitalization,132.0
TEDUGLUTIDE,7346.0,6.34,Hospitalization,5121.0
METHOTREXATE,7236.0,10.95,Hospitalization,2099.0
NEMLUVIO,6946.0,0.71,Hospitalization,164.0
REPATHA,6903.0,2.65,Hospitalization,592.0
ELIQUIS,6716.0,14.55,Hospitalization,1041.0
PREDNISONE,6660.0,14.35,Hospitalization,1780.0
TYVASO DPI,6498.0,2.91,Hospitalization,1292.0
SPRAVATO,6469.0,2.41,Hospitalization,782.0
LANTUS SOLOSTAR,6408.0,0.17,Hospitalization,111.0
CORTICOTROPIN,6358.0,1.65,Hospitalization,643.0
TYMLOS,6287.0,1.26,Hospitalization,483.0
COSENTYX,6172.0,7.29,Hospitalization,803.0
JAKAFI,6171.0,7.08,Hospitalization,844.0
REMODULIN,5964.0,4.64,Hospitalization,1848.0
ELIGARD,5844.0,14.25,Hospitalization,311.0
TREMFYA,5681.0,1.25,Hospitalization,339.0
MYCOPHENOLATE MOFETIL,5676.0,14.62,Hospitalization,1442.0
CARBOPLATIN,5619.0,12.01,Hospitalization,1915.0
TISLELIZUMAB,5583.0,0.52,Hospitalization,2669.0
NUCALA,5563.0,2.12,Hospitalization,487.0
ADALIMUMAB,5417.0,12.04,Hospitalization,1122.0
WEGOVY,5276.0,0.66,Hospitalization,815.0
XELJANZ XR,5243.0,1.64,Hospitalization,517.0
CABOMETYX,5233.0,5.03,Hospitalization,469.0
IBRANCE,5179.0,10.74,Hospitalization,581.0
TACROLIMUS,5147.0,12.98,Hospitalization,1571.0
XOLAIR,5086.0,0.92,Hospitalization,514.0
TYLENOL,4981.0,0.92,Hospitalization,49.0
INFLIXIMAB,4638.0,4.05,Hospitalization,1280.0
OCREVUS,4572.0,2.01,Hospitalization,824.0
BENLYSTA,4541.0,0.7,Hospitalization,206.0
ATORVASTATIN,4512.0,3.81,Hospitalization,1056.0
FINASTERIDE,4420.0,2.17,Hospitalization,89.0
SIMPONI,4419.0,1.45,Hospitalization,733.0
CLOZARIL,4413.0,20.24,Hospitalization,2349.0
TRULICITY,4339.0,1.06,Hospitalization,620.0
LEVETIRACETAM,4253.0,4.21,Hospitalization,930.0
CREON,4211.0,9.4,Hospitalization,1133.0
KEVZARA,4207.0,1.85,Hospitalization,207.0
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,4183.0,6.65,Hospitalization,1786.0
KESIMPTA,4162.0,1.59,Hospitalization,688.0
IBUPROFEN,4159.0,4.3,Hospitalization,1536.0
TYVASO,4114.0,6.27,Hospitalization,1223.0
CLOZAPINE,4085.0,14.91,Hospitalization,1365.0
ULTOMIRIS,4018.0,9.81,Hospitalization,1071.0
HUMALOG,3909.0,0.72,Hospitalization,343.0
INFLECTRA,3898.0,1.56,Hospitalization,1058.0
DEXAMETHASONE,3854.0,12.9,Hospitalization,945.0
STELARA,3850.0,1.97,Hospitalization,346.0
METFORMIN,3812.0,10.49,Hospitalization,1332.0
BEVACIZUMAB,3700.0,19.68,Hospitalization,719.0
CARBIDOPA\LEVODOPA,3658.0,33.41,Hospitalization,1449.0
MIRENA,3573.0,0.11,Hospitalization,142.0
VENCLEXTA,3493.0,30.52,Hospitalization,1186.0
PLUVICTO,3478.0,9.03,Hospitalization,127.0
SERTRALINE,3456.0,5.15,Hospitalization,759.0
TYSABRI,3410.0,4.19,Hospitalization,855.0
OXALIPLATIN,3388.0,10.24,Hospitalization,1015.0
REMICADE,3329.0,3.09,Hospitalization,708.0
CERTOLIZUMAB PEGOL,3308.0,2.33,Hospitalization,588.0
OXERVATE,3307.0,0.91,Hospitalization,159.0
OSIMERTINIB,3302.0,40.31,Hospitalization,598.0
PARAGARD T 380A,3287.0,0.09,Hospitalization,67.0
EMGALITY,3277.0,0.18,Hospitalization,81.0
ENBREL,3258.0,5.22,Hospitalization,414.0
LENVIMA,3245.0,6.59,Hospitalization,2031.0
TRELEGY ELLIPTA,3151.0,4.79,Hospitalization,348.0
PREGABALIN,3136.0,11.19,Hospitalization,887.0
ORENITRAM,3128.0,2.43,Hospitalization,746.0
OMNITROPE,3053.0,0.39,Hospitalization,95.0
GABAPENTIN,2974.0,10.02,Hospitalization,598.0
ALBUTEROL,2973.0,2.76,Hospitalization,190.0
XYWAV,2945.0,0.54,Hospitalization,776.0
PEMBROLIZUMAB,2938.0,12.76,Hospitalization,779.0
BOTOX,2931.0,10.92,Hospitalization,281.0
EPIDIOLEX,2929.0,16.32,Hospitalization,1795.0
METHOTREXATE SODIUM,2898.0,4.87,Hospitalization,603.0
PROLIA,2872.0,17.79,Hospitalization,311.0
TALTZ,2840.0,1.65,Hospitalization,181.0
AMLODIPINE,2835.0,9.1,Hospitalization,620.0
BREZTRI,2817.0,4.54,Hospitalization,176.0
OLANZAPINE,2817.0,7.06,Hospitalization,948.0
FILSPARI,2784.0,0.54,Hospitalization,180.0
XELJANZ,2776.0,3.42,Hospitalization,323.0
OPDIVO,2760.0,20.54,Hospitalization,686.0
ACTEMRA,2749.0,9.6,Hospitalization,392.0
IMBRUVICA,2741.0,16.6,Hospitalization,857.0
DAYBUE,2733.0,0.51,Hospitalization,282.0
FOSCARBIDOPA\FOSLEVODOPA,2718.0,17.26,Hospitalization,1556.0
OFEV,2673.0,19.72,Hospitalization,1039.0
OTEZLA,2672.0,2.17,Hospitalization,202.0
PAXLOVID,2663.0,1.35,Hospitalization,109.0
KISQALI,2661.0,11.39,Hospitalization,502.0
PREDNISOLONE,2629.0,12.02,Hospitalization,710.0
VERZENIO,2613.0,4.4,Hospitalization,283.0
PACLITAXEL,2521.0,7.3,Hospitalization,784.0
BIMEKIZUMAB,2512.0,1.07,Hospitalization,577.0
AYVAKIT,2423.0,2.02,Hospitalization,201.0
SOLIRIS,2420.0,17.27,Hospitalization,778.0
LUPKYNIS,2417.0,0.37,Hospitalization,144.0
ARIPIPRAZOLE,2377.0,7.15,Hospitalization,781.0
FENFLURAMINE,2373.0,0.0,Hospitalization,1018.0
XOLAIR PFS,2373.0,1.31,Hospitalization,134.0
HEMLIBRA,2360.0,4.19,Hospitalization,405.0
CYCLOSPORINE,2357.0,14.59,Hospitalization,451.0
DURVALUMAB,2353.0,39.91,Hospitalization,366.0
CONTRAVE,2350.0,0.09,Hospitalization,44.0
CYCLOPHOSPHAMIDE,2341.0,15.85,Hospitalization,848.0
ESTRADIOL,2341.0,0.21,Hospitalization,67.0
APIXABAN,2291.0,11.35,Hospitalization,801.0
JARDIANCE,2227.0,4.63,Hospitalization,623.0
TRASTUZUMAB,2222.0,10.08,Hospitalization,567.0
ISOTRETINOIN,2203.0,0.59,Hospitalization,53.0
DEPO-PROVERA,2177.0,0.46,Hospitalization,102.0
ENHERTU,2176.0,28.86,Hospitalization,382.0
IMFINZI,2176.0,34.19,Hospitalization,328.0
BENRALIZUMAB,2172.0,16.57,Hospitalization,701.0
QUETIAPINE,2140.0,10.75,Hospitalization,706.0
IDURSULFASE,2127.0,6.96,Hospitalization,1202.0
VYEPTI,2122.0,0.85,Hospitalization,204.0
VUMERITY,2119.0,3.82,Hospitalization,395.0
FENTANYL,2104.0,55.23,Hospitalization,263.0
TECENTRIQ,2103.0,37.33,Hospitalization,559.0
NEULASTA,2081.0,1.2,Hospitalization,45.0
MAVENCLAD,2062.0,1.36,Hospitalization,390.0
ADVATE,2049.0,0.54,Hospitalization,609.0
OLAPARIB,2023.0,23.63,Hospitalization,354.0
CAPECITABINE,2020.0,13.76,Hospitalization,612.0
TOLVAPTAN,2018.0,11.5,Hospitalization,321.0
PONATINIB,2014.0,13.46,Hospitalization,951.0
ROSUVASTATIN,2013.0,1.79,Hospitalization,389.0
EVENITY,2012.0,4.08,Hospitalization,520.0
FASENRA,2002.0,7.14,Hospitalization,351.0
VENETOCLAX,1977.0,21.24,Hospitalization,641.0
ICATIBANT,1974.0,0.61,Hospitalization,845.0
TAGRISSO,1968.0,19.16,Hospitalization,397.0
ENTYVIO,1964.0,2.19,Hospitalization,255.0
FRUQUINTINIB,1961.0,36.82,Hospitalization,425.0
CARVYKTI,1932.0,9.11,Hospitalization,637.0
VYNDAMAX,1916.0,28.81,Hospitalization,530.0
TEZSPIRE,1877.0,3.62,Hospitalization,284.0
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,1858.0,63.83,Hospitalization,141.0
XCOPRI,1841.0,1.9,Hospitalization,341.0
RISANKIZUMAB,1837.0,0.49,Hospitalization,186.0
ADBRY,1826.0,1.48,Hospitalization,100.0
ACALABRUTINIB,1816.0,12.44,Hospitalization,593.0
CIPROFLOXACIN,1788.0,4.19,Hospitalization,528.0
LANADELUMAB,1781.0,2.41,Hospitalization,965.0
VENLAFAXINE,1767.0,9.68,Hospitalization,555.0
ZOLEDRONIC ACID,1759.0,4.43,Hospitalization,391.0
DOXORUBICIN,1755.0,16.18,Hospitalization,417.0
OPSUMIT,1746.0,14.09,Hospitalization,711.0
VEVYE,1729.0,0.0,Hospitalization,2.0
BORTEZOMIB,1719.0,13.21,Hospitalization,317.0
TREPROSTINIL,1706.0,15.47,Hospitalization,900.0
HIZENTRA,1703.0,7.93,Hospitalization,422.0
BASAGLAR,1687.0,0.47,Hospitalization,102.0
VANCOMYCIN,1687.0,17.49,Hospitalization,550.0
YERVOY,1676.0,29.12,Hospitalization,442.0
DOCETAXEL,1667.0,13.5,Hospitalization,440.0
AMBRISENTAN,1666.0,15.13,Hospitalization,811.0
LAMOTRIGINE,1650.0,7.52,Hospitalization,582.0
RAMIPRIL,1647.0,1.52,Hospitalization,194.0
LEQVIO,1632.0,3.37,Hospitalization,147.0
LETROZOLE,1626.0,5.47,Hospitalization,320.0
MINOXIDIL,1620.0,0.0,Hospitalization,11.0
MEPOLIZUMAB,1619.0,7.6,Hospitalization,751.0
GLASSIA,1608.0,7.15,Hospitalization,674.0
PADCEV,1605.0,19.0,Hospitalization,379.0
STRENSIQ,1598.0,1.44,Hospitalization,238.0
DICLOFENAC,1596.0,15.23,Hospitalization,381.0
VABYSMO,1590.0,10.63,Hospitalization,115.0
MIRALAX,1578.0,0.38,Hospitalization,10.0
DOXYCYCLINE,1569.0,5.8,Hospitalization,366.0
OMEPRAZOLE,1568.0,4.85,Hospitalization,501.0
TAVNEOS,1563.0,12.8,Hospitalization,889.0
FLUOROURACIL,1554.0,7.79,Hospitalization,607.0
PALYNZIQ,1540.0,0.32,Hospitalization,73.0
CITALOPRAM,1532.0,50.39,Hospitalization,188.0
OXYCODONE HYDROCHLORIDE,1528.0,23.17,Hospitalization,171.0
CLOPIDOGREL,1527.0,10.67,Hospitalization,427.0
TRAMADOL,1519.0,19.42,Hospitalization,437.0
COBENFY,1518.0,1.25,Hospitalization,121.0
AIMOVIG,1516.0,5.08,Hospitalization,134.0
RUXIENCE,1516.0,6.73,Hospitalization,367.0
GEMTESA,1500.0,6.07,Hospitalization,76.0
LEQEMBI,1498.0,4.74,Hospitalization,421.0
HYRIMOZ,1496.0,4.75,Hospitalization,208.0
PANTOPRAZOLE,1494.0,7.97,Hospitalization,589.0
AZITHROMYCIN,1491.0,7.65,Hospitalization,450.0
CABENUVA,1477.0,1.9,Hospitalization,68.0
ENTRESTO,1470.0,8.84,Hospitalization,367.0
SYMBICORT,1466.0,1.36,Hospitalization,204.0
GEMCITABINE,1465.0,13.24,Hospitalization,252.0
FULVESTRANT,1456.0,14.08,Hospitalization,295.0
RUXOLITINIB,1452.0,15.36,Hospitalization,328.0
KISUNLA,1445.0,2.21,Hospitalization,143.0
CAMZYOS,1416.0,2.97,Hospitalization,157.0
AMOXICILLIN,1415.0,2.47,Hospitalization,501.0
VYALEV,1402.0,7.85,Hospitalization,485.0
XARELTO,1396.0,5.87,Hospitalization,392.0
IXAZOMIB,1393.0,21.32,Hospitalization,517.0
TRUVADA,1388.0,0.5,Hospitalization,36.0
ALPRAZOLAM,1387.0,19.83,Hospitalization,454.0
VELAGLUCERASE ALFA,1383.0,4.77,Hospitalization,782.0
AVASTIN,1383.0,28.2,Hospitalization,242.0
CAPLYTA,1381.0,0.94,Hospitalization,62.0
TRIKAFTA,1375.0,2.55,Hospitalization,276.0
UBLITUXIMAB,1364.0,0.81,Hospitalization,143.0
INVEGA SUSTENNA,1358.0,1.25,Hospitalization,245.0
AVONEX,1343.0,3.87,Hospitalization,360.0
BOTOX COSMETIC,1339.0,0.07,Hospitalization,9.0
RYBREVANT,1334.0,7.12,Hospitalization,218.0
RILPIVIRINE,1332.0,1.05,Hospitalization,31.0
NEXPLANON,1326.0,0.15,Hospitalization,43.0
LUMRYZ,1319.0,0.15,Hospitalization,55.0
SYNTHROID,1317.0,21.94,Hospitalization,122.0
HEMANGEOL,1313.0,0.08,Hospitalization,20.0
RISPERIDONE,1313.0,5.86,Hospitalization,456.0
FARXIGA,1309.0,18.26,Hospitalization,138.0
MIRTAZAPINE,1305.0,10.27,Hospitalization,359.0
OMALIZUMAB,1303.0,1.23,Hospitalization,389.0
QINLOCK,1302.0,6.37,Hospitalization,269.0
LEVOFLOXACIN,1299.0,5.47,Hospitalization,475.0
LYNPARZA,1294.0,13.6,Hospitalization,193.0
ESTRADIOL TRANSDERMAL SYSTEM,1279.0,0.0,Hospitalization,7.0
DUPILUMAB,1278.0,2.27,Hospitalization,251.0
TAVALISSE,1269.0,6.78,Hospitalization,304.0
WINREVAIR,1261.0,3.89,Hospitalization,424.0
LANTUS,1259.0,0.64,Hospitalization,36.0
LINEZOLID,1257.0,9.86,Hospitalization,312.0
TADALAFIL,1251.0,11.99,Hospitalization,382.0
TERIPARATIDE,1238.0,3.23,Hospitalization,148.0
AJOVY,1238.0,1.45,Hospitalization,98.0
EZETIMIBE,1236.0,1.54,Hospitalization,156.0
ACOLTREMON,1232.0,0.0,Hospitalization,5.0
VOQUEZNA,1229.0,2.69,Hospitalization,70.0
IMATINIB,1227.0,7.25,Hospitalization,260.0
XDEMVY,1200.0,0.75,Hospitalization,19.0
XYREM,1191.0,0.42,Hospitalization,291.0
DIAZEPAM,1186.0,13.49,Hospitalization,397.0
QSYMIA,1182.0,0.25,Hospitalization,11.0
NIVOLUMAB,1177.0,14.19,Hospitalization,292.0
UPADACITINIB,1177.0,1.44,Hospitalization,248.0
BUPRENORPHINE,1174.0,33.65,Hospitalization,200.0
TECFIDERA,1163.0,2.06,Hospitalization,268.0
FINTEPLA,1162.0,1.98,Hospitalization,328.0
PEMETREXED,1158.0,14.16,Hospitalization,444.0
RISPERDAL,1151.0,1.91,Hospitalization,137.0
ACTEMRA ACTPEN,1150.0,4.87,Hospitalization,103.0
ETOPOSIDE,1149.0,22.63,Hospitalization,300.0
TEZEPELUMAB,1146.0,13.44,Hospitalization,389.0
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",1140.0,13.6,Hospitalization,56.0
