drugname,pt,count
UBLITUXIMAB,Headache,38
UBLITUXIMAB,Maternal exposure during pregnancy,38
UBLITUXIMAB,Nasopharyngitis,38
ULTOMIRIS,Fatigue,627
ULTOMIRIS,Death,381
ULTOMIRIS,Myasthenia gravis,370
ULTOMIRIS,Asthenia,362
ULTOMIRIS,Drug ineffective,262
ULTOMIRIS,Headache,261
ULTOMIRIS,Haemoglobin decreased,231
ULTOMIRIS,Dyspnoea,220
ULTOMIRIS,Pneumonia,212
ULTOMIRIS,Malaise,188
UPADACITINIB,Off label use,81
UPADACITINIB,Drug ineffective,51
UPADACITINIB,Acne,47
UPADACITINIB,Product residue present,38
UPADACITINIB,Herpes zoster,32
UPADACITINIB,Crohn's disease,30
UPADACITINIB,Colitis ulcerative,28
UPADACITINIB,Product storage error,28
UPADACITINIB,Fatigue,24
UPADACITINIB,Pain,24
VABYSMO,Off label use,452
VABYSMO,Retinal thickening,354
VABYSMO,Optical coherence tomography abnormal,225
VABYSMO,Visual impairment,175
VABYSMO,Death,167
VABYSMO,No adverse event,118
VABYSMO,Eye inflammation,96
VABYSMO,Blindness,84
VABYSMO,Visual acuity reduced,74
VABYSMO,Visual acuity tests abnormal,72
VANCOMYCIN,Drug ineffective,420
VANCOMYCIN,Acute kidney injury,221
VANCOMYCIN,Drug reaction with eosinophilia and systemic symptoms,140
VANCOMYCIN,Off label use,131
VANCOMYCIN,Condition aggravated,82
VANCOMYCIN,Renal tubular necrosis,66
VANCOMYCIN,Rash,61
VANCOMYCIN,Tubulointerstitial nephritis,61
VANCOMYCIN,Nephropathy toxic,55
VANCOMYCIN,Drug ineffective for unapproved indication,51
VEDOLIZUMAB,Off label use,31994
VEDOLIZUMAB,Colitis ulcerative,18991
VEDOLIZUMAB,Diarrhoea,18473
VEDOLIZUMAB,Crohn's disease,17242
VEDOLIZUMAB,Abdominal pain,16447
VEDOLIZUMAB,Haematochezia,11189
VEDOLIZUMAB,Frequent bowel movements,10348
VEDOLIZUMAB,Fatigue,10325
VEDOLIZUMAB,Malaise,8591
VEDOLIZUMAB,Drug ineffective,8084
VELAGLUCERASE ALFA,Inappropriate schedule of product administration,1781
VELAGLUCERASE ALFA,Product dose omission issue,1254
VELAGLUCERASE ALFA,Fatigue,1063
VELAGLUCERASE ALFA,Weight increased,989
VELAGLUCERASE ALFA,Bone pain,982
VELAGLUCERASE ALFA,Nausea,928
VELAGLUCERASE ALFA,COVID-19,918
VELAGLUCERASE ALFA,Blood pressure increased,894
VELAGLUCERASE ALFA,Abdominal pain,882
VELAGLUCERASE ALFA,Weight decreased,738
VENCLEXTA,Death,917
VENCLEXTA,Platelet count decreased,276
VENCLEXTA,Fatigue,256
VENCLEXTA,Off label use,245
VENCLEXTA,White blood cell count decreased,203
VENCLEXTA,Diarrhoea,185
VENCLEXTA,Nausea,179
VENCLEXTA,Haemoglobin decreased,170
VENCLEXTA,Pneumonia,155
VENCLEXTA,Asthenia,151
VENETOCLAX,Neutropenia,646
VENETOCLAX,Myelosuppression,576
VENETOCLAX,Thrombocytopenia,397
VENETOCLAX,Anaemia,341
VENETOCLAX,Pyrexia,186
VENETOCLAX,Death,171
VENETOCLAX,Febrile neutropenia,154
VENETOCLAX,Leukopenia,131
VENETOCLAX,Infection,123
VENETOCLAX,Off label use,115
VENLAFAXINE,Toxicity to various agents,189
VENLAFAXINE,Foetal exposure during pregnancy,130
VENLAFAXINE,Drug interaction,117
VENLAFAXINE,Suicide attempt,111
VENLAFAXINE,Overdose,92
VENLAFAXINE,Drug ineffective,87
VENLAFAXINE,Coma,84
VENLAFAXINE,Serotonin syndrome,79
VENLAFAXINE,Somnolence,77
VENLAFAXINE,Drug abuse,74
VERZENIO,Diarrhoea,1387
VERZENIO,Fatigue,677
VERZENIO,Nausea,526
VERZENIO,Product dose omission issue,249
VERZENIO,Vomiting,208
VERZENIO,Decreased appetite,203
VERZENIO,Abdominal pain upper,193
VERZENIO,Constipation,193
VERZENIO,Asthenia,187
VERZENIO,Headache,159
VEVYE,Eye irritation,751
VEVYE,Drug ineffective,410
VEVYE,Eye pain,295
VEVYE,Ocular hyperaemia,167
VEVYE,Vision blurred,160
VEVYE,Eye pruritus,131
VEVYE,Dry eye,93
VEVYE,Lacrimation increased,79
VEVYE,Ocular discomfort,69
VEVYE,Headache,63
VOLTAREN ARTHRITIS PAIN,Product use in unapproved indication,934
VOLTAREN ARTHRITIS PAIN,Drug effective for unapproved indication,896
VOLTAREN ARTHRITIS PAIN,Product administered at inappropriate site,449
VOLTAREN ARTHRITIS PAIN,Drug ineffective,341
VOLTAREN ARTHRITIS PAIN,Product use issue,122
VOLTAREN ARTHRITIS PAIN,Drug effect less than expected,82
VOLTAREN ARTHRITIS PAIN,Inappropriate schedule of product administration,65
VOLTAREN ARTHRITIS PAIN,Off label use,60
VOLTAREN ARTHRITIS PAIN,Drug ineffective for unapproved indication,40
VOLTAREN ARTHRITIS PAIN,Therapeutic product effect incomplete,39
VOQUEZNA,Gastrooesophageal reflux disease,139
VOQUEZNA,Drug ineffective,136
VOQUEZNA,Nausea,116
VOQUEZNA,Diarrhoea,92
VOQUEZNA,Off label use,88
VOQUEZNA,Abdominal pain upper,87
VOQUEZNA,Headache,77
VOQUEZNA,Product dose omission issue,77
VOQUEZNA,Dyspepsia,71
VOQUEZNA,Dizziness,62
VUMERITY,Flushing,408
VUMERITY,Multiple sclerosis,320
VUMERITY,Product dose omission issue,245
VUMERITY,Multiple sclerosis relapse,210
VUMERITY,Fatigue,188
VUMERITY,Diarrhoea,186
VUMERITY,Pruritus,180
VUMERITY,Fall,172
VUMERITY,Product dose omission in error,171
VUMERITY,Nausea,163
VYALEV,Infusion site reaction,177
VYALEV,Fall,151
VYALEV,Malaise,140
VYALEV,On and off phenomenon,133
VYALEV,Infusion site pain,119
VYALEV,Infusion site erythema,114
VYALEV,Hallucination,110
VYALEV,Dyskinesia,105
VYALEV,Device issue,101
VYALEV,Infusion site infection,96
VYEPTI,Drug ineffective,362
VYEPTI,Migraine,291
VYEPTI,Therapeutic response shortened,163
VYEPTI,Headache,160
VYEPTI,Drug effect less than expected,133
VYEPTI,Nausea,129
VYEPTI,Throat irritation,116
VYEPTI,Fatigue,104
VYEPTI,Pruritus,100
VYEPTI,Dizziness,88
VYNDAMAX,Death,495
VYNDAMAX,Dyspnoea,179
VYNDAMAX,Fatigue,141
VYNDAMAX,Fall,104
VYNDAMAX,Dizziness,90
VYNDAMAX,Cardiac failure,88
VYNDAMAX,Asthenia,80
VYNDAMAX,Peripheral swelling,75
VYNDAMAX,Cardiac disorder,72
VYNDAMAX,Atrial fibrillation,70
WEGOVY,Nausea,756
WEGOVY,Vomiting,468
WEGOVY,Diarrhoea,329
WEGOVY,Off label use,329
WEGOVY,Constipation,316
WEGOVY,Weight increased,273
WEGOVY,Weight loss poor,237
WEGOVY,Inappropriate schedule of product administration,235
WEGOVY,Decreased appetite,231
WEGOVY,Fatigue,225
WINREVAIR,Epistaxis,167
WINREVAIR,Headache,150
WINREVAIR,Haemoglobin increased,99
WINREVAIR,Diarrhoea,97
WINREVAIR,Dizziness,77
WINREVAIR,Pericardial effusion,76
WINREVAIR,Fatigue,72
WINREVAIR,Nausea,71
WINREVAIR,Dyspnoea,70
WINREVAIR,No adverse event,68
XARELTO,Product dose omission issue,107
XARELTO,Product prescribing issue,64
XARELTO,Dizziness,61
XARELTO,Epistaxis,55
XARELTO,Headache,55
XARELTO,Anaemia,54
XARELTO,Thrombosis,50
XARELTO,Atrial fibrillation,49
XARELTO,Inappropriate schedule of product administration,48
XARELTO,Haemorrhage,45
XCOPRI,Seizure,873
XCOPRI,Product dose omission issue,809
XCOPRI,Product use issue,216
XCOPRI,Off label use,196
XCOPRI,Somnolence,162
XCOPRI,Fatigue,161
XCOPRI,Fall,137
XCOPRI,Dizziness,132
XCOPRI,Wrong technique in product usage process,117
XCOPRI,Headache,88
XDEMVY,Eye irritation,167
XDEMVY,Product use issue,128
XDEMVY,Ocular hyperaemia,118
XDEMVY,Therapy interrupted,102
XDEMVY,Vision blurred,97
XDEMVY,Off label use,96
XDEMVY,Condition aggravated,95
XDEMVY,Wrong technique in product usage process,92
XDEMVY,Eye pain,90
XDEMVY,Drug ineffective,85
XELJANZ,Condition aggravated,540
XELJANZ,Off label use,509
XELJANZ,Pain,348
XELJANZ,Drug ineffective,289
XELJANZ,Illness,270
XELJANZ,Product dose omission in error,218
XELJANZ,Headache,185
XELJANZ,Intentional product misuse,179
XELJANZ,Arthralgia,177
XELJANZ,Nasopharyngitis,173
XELJANZ XR,Condition aggravated,988
XELJANZ XR,Pain,901
XELJANZ XR,Drug ineffective,575
XELJANZ XR,Illness,555
XELJANZ XR,Arthralgia,485
XELJANZ XR,Product dose omission in error,422
XELJANZ XR,COVID-19,381
XELJANZ XR,Malaise,378
XELJANZ XR,Pain in extremity,377
XELJANZ XR,Nasopharyngitis,343
XOLAIR,No adverse event,1277
XOLAIR,Urticaria,1059
XOLAIR,Off label use,1040
XOLAIR,Product dose omission issue,577
XOLAIR,Drug ineffective,475
XOLAIR,Asthma,455
XOLAIR,Pruritus,421
XOLAIR,Dyspnoea,393
XOLAIR,Cough,372
XOLAIR,Anaphylactic reaction,354
XOLAIR PFS,Off label use,678
XOLAIR PFS,No adverse event,561
XOLAIR PFS,Urticaria,491
XOLAIR PFS,Drug ineffective,215
XOLAIR PFS,Anaphylactic reaction,190
XOLAIR PFS,Idiopathic urticaria,186
XOLAIR PFS,Pruritus,143
XOLAIR PFS,Asthma,138
XOLAIR PFS,Product dose omission issue,110
XOLAIR PFS,Rash,53
XPHOZAH,Diarrhoea,549
XPHOZAH,Death,150
XPHOZAH,Inappropriate schedule of product administration,109
XPHOZAH,Hospitalisation,102
XPHOZAH,Therapy interrupted,43
XPHOZAH,Product use issue,42
XPHOZAH,Nausea,37
XPHOZAH,Drug intolerance,34
XPHOZAH,Off label use,34
XPHOZAH,Treatment noncompliance,34
XYREM,Product administration interrupted,226
XYREM,Surgery,203
XYREM,Nausea,115
XYREM,Hypertension,111
XYREM,Intentional product use issue,111
XYREM,Anxiety,107
XYREM,Weight decreased,107
XYREM,Off label use,104
XYREM,Depression,100
XYREM,Fall,96
XYWAV,Surgery,1060
XYWAV,Product administration interrupted,612
XYWAV,Nausea,488
XYWAV,Product dose omission issue,446
XYWAV,Intentional dose omission,425
XYWAV,Anxiety,348
XYWAV,Intentional product use issue,332
XYWAV,Somnolence,325
XYWAV,Feeling abnormal,319
XYWAV,Dizziness,307
YERVOY,Death,465
YERVOY,Cytokine release syndrome,219
YERVOY,Pyrexia,130
YERVOY,Malignant neoplasm progression,120
YERVOY,Immune-mediated enterocolitis,113
YERVOY,Immune-mediated hepatic disorder,89
YERVOY,Liver disorder,85
YERVOY,Immune-mediated dermatitis,79
YERVOY,Immune-mediated lung disease,77
YERVOY,Rash,71
ZEPBOUND,Incorrect dose administered,6872
ZEPBOUND,Nausea,2972
ZEPBOUND,Injection site pain,2409
ZEPBOUND,Extra dose administered,2306
ZEPBOUND,Drug ineffective,1747
ZEPBOUND,Diarrhoea,1578
ZEPBOUND,Accidental underdose,1432
ZEPBOUND,Vomiting,1281
ZEPBOUND,Therapeutic response changed,1203
ZEPBOUND,Constipation,1044
ZEPOSIA,Fatigue,110
ZEPOSIA,Product dose omission issue,85
ZEPOSIA,Multiple sclerosis relapse,70
ZEPOSIA,Drug ineffective,56
ZEPOSIA,Headache,52
ZEPOSIA,Colitis ulcerative,48
ZEPOSIA,Pain,42
ZEPOSIA,Off label use,37
ZEPOSIA,Disturbance in attention,33
ZEPOSIA,Dizziness,30
ZOLEDRONIC ACID,Osteonecrosis of jaw,150
ZOLEDRONIC ACID,Fatigue,143
ZOLEDRONIC ACID,Off label use,124
ZOLEDRONIC ACID,Nausea,107
ZOLEDRONIC ACID,Pain,101
ZOLEDRONIC ACID,Neutropenia,98
ZOLEDRONIC ACID,Malaise,93
ZOLEDRONIC ACID,Arthralgia,89
ZOLEDRONIC ACID,Pyrexia,89
ZOLEDRONIC ACID,Vomiting,89
ZYRTEC,Pruritus,240
ZYRTEC,Drug ineffective,209
ZYRTEC,Product use in unapproved indication,180
ZYRTEC,Somnolence,96
ZYRTEC,Therapeutic response unexpected,80
ZYRTEC,Withdrawal syndrome,78
ZYRTEC,Off label use,72
ZYRTEC,Overdose,71
ZYRTEC,Urticaria,51
ZYRTEC,Wrong technique in product usage process,36
